repository,cbo_avg,cbo_median,cbo_min,cbo_max,cbo_std,dit_avg,dit_median,dit_min,dit_max,dit_std,lcom_star_avg,lcom_star_median,lcom_star_min,lcom_star_max,lcom_star_std,loc_avg,loc_median,loc_min,loc_max,loc_std
krahets_hello-algo,1.8744186046511628,2.0,0,11,1.512578571876796,1.0,1.0,1,1,0.0,0.0695392137674418,0.0,0.0,0.72727275,0.1768275431633376,35.84651162790698,30.0,8,113,19.95672126767584
GrowingGit_GitHub-Chinese-Top-Charts,0.0,0.0,0,0,,1.0,1.0,1,1,,0.0,0.0,0.0,0.0,,5.0,5.0,5,5,
iluwatar_java-design-patterns,3.362311557788945,3.0,0,22,2.60657919242678,1.1959798994974875,1.0,1,6,0.5294579407361238,0.1223249259314641,0.0,0.0,1.0,0.2413217909023821,19.08040201005025,11.0,1,504,26.31117818294645
macrozheng_mall,3.934210526315789,3.0,0,45,4.966914318526482,1.2394736842105265,1.0,1,4,0.4392108588021277,0.3846267921164772,0.414285715,0.0,1.0,0.3876786815620687,132.7671052631579,31.5,2,2400,261.20182802565046
spring-projects_spring-boot,5.494622885001434,4.0,0,180,6.415774037540579,1.2884284485230857,1.0,1,16,0.7709062414060239,0.1618150380919465,0.0,0.0,1.0,0.280202792839282,29.44622885001434,11.0,1,1979,61.84174616063624
doocs_advanced-java,0.0,0.0,0,0,,1.0,1.0,1,1,,0.0,0.0,0.0,0.0,,5.0,5.0,5,5,
MisterBooo_LeetCodeAnimation,1.0,1.0,1,1,0.0,1.0,1.0,1,1,0.0,0.05,0.0,0.0,0.2,0.1,19.5,18.5,11,30,7.852812659593164
TheAlgorithms_Java,2.0779220779220777,2.0,0,14,1.475074785664527,1.0383963862224732,1.0,1,7,0.2597141472261745,0.101556978213515,0.0,0.0,1.0,0.2164439508651987,41.14455110107284,28.0,1,451,43.08721279838607
kdn251_interviews,1.1945525291828794,1.0,0,7,1.2535455552727108,1.0038910505836576,1.0,1,2,0.0623782861551805,0.0213541667578124,0.0,0.0,0.5,0.0881833042082981,21.8715953307393,20.0,1,74,10.744323109698588
spring-projects_spring-framework,5.249973367423032,3.0,0,203,6.813602457368745,1.4734206881857888,1.0,1,70,1.5169673177233542,0.1805036049676897,0.0,0.0,1.0,0.3002913889093178,41.1259188239054,12.0,1,5591,105.52870301820364
termux_termux-app,5.912772585669782,4.0,0,61,7.18713208458326,1.4299065420560748,1.0,1,6,0.7041681643885342,0.354016533105802,0.11764706,0.0,1.0,0.3823227048350583,76.5202492211838,31.0,1,2044,153.46889056071817
google_guava,4.212364243943191,2.0,0,82,5.691035218594486,1.8581453634085208,1.0,1,66,2.321018434463045,0.1372347138911107,0.0,0.0,1.0,0.2762694921541118,41.56374269005848,10.0,1,2235,113.70483466927163
ReactiveX_RxJava,2.333781625619904,1.0,0,246,5.148872738884299,1.3221820627048837,1.0,1,26,0.8871266111520976,0.0719226197447776,0.0,0.0,1.0,0.2105807945584605,31.380768260906112,5.0,1,2808,103.85014839713244
skylot_jadx,4.368062317429406,3.0,0,83,6.479603797111661,1.6475170399221033,1.0,1,21,1.2380865401738066,0.2219953081420059,0.0,0.0,1.0,0.3312379630231616,44.90976955533917,18.0,1,1469,95.25430916375942
jeecgboot_JeecgBoot,7.355653128430296,4.0,0,98,9.604072418407174,1.1789242590559823,1.0,1,5,0.4543263891558347,0.2944122890374331,0.0,0.0,1.0,0.3592042300588626,60.50164654226125,16.0,1,2114,155.64875838340924
apache_dubbo,5.437386934673367,4.0,0,69,5.849820105045058,1.2872361809045223,1.0,1,13,0.6929682282162267,0.2596402950828888,0.0,0.0,1.0,0.3429730916418628,51.6721608040201,20.0,1,2589,101.25531383323792
PhilJay_MPAndroidChart,8.843137254901961,5.0,0,45,10.00663232327592,1.9803921568627447,1.0,1,6,1.2305967537333011,0.3228491504999999,0.0,0.0,1.0,0.3675717561680433,68.99019607843137,25.0,1,657,98.04777976416771
halo-dev_halo,7.667917448405253,5.0,0,61,7.348497507839129,1.2520325203252032,1.0,1,8,0.6315797060541637,0.2511319211943462,0.0,0.0,1.0,0.3227412479867752,35.04127579737336,17.0,1,571,51.618457249169495
TeamNewPipe_NewPipe,8.66468253968254,5.0,0,88,10.618294291291509,1.718253968253968,1.0,1,11,1.1454743376587353,0.3478641326141079,0.2,0.0,1.0,0.3689688872038029,77.15674603174604,26.0,1,1577,151.01737564810594
eugenp_tutorials,4.1294089127712015,3.0,0,43,4.005029682495809,1.1104601834269323,1.0,1,11,0.4195236287640353,0.177752665999257,0.0,0.0,1.0,0.2801101639589676,22.117773019271947,14.0,1,2879,37.312618545109935
alibaba_arthas,4.691734921816828,3.0,0,52,5.79096746803341,1.3618763961280715,1.0,1,14,0.7526050493250532,0.3020458597649734,0.0,0.0,1.0,0.3506117714456428,48.83767684288905,20.0,1,1425,89.25010744670672
YunaiV_ruoyi-vue-pro,8.207223208999407,6.0,0,108,7.611319095374003,1.2232089994079336,1.0,1,4,0.4358922993791462,0.2717343013150454,0.0,0.0,1.0,0.3366731263139808,26.120978882968227,11.0,1,1421,48.55597548824277
ashishps1_awesome-system-design-resources,0.8181818181818182,1.0,0,2,0.6030226891555273,1.0,1.0,1,1,0.0,0.1743686909090909,0.25,0.0,0.38888893,0.1482294790865106,30.545454545454547,26.0,19,60,12.63616742816932
geekxh_hello-algorithm,1.0,1.0,0,2,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,20.33333333333333,26.0,4,31,14.364307617610162
doocs_leetcode,2.691860465116279,2.0,0,10,1.9774586512132843,1.005813953488372,1.0,1,2,0.0762492851663023,0.2451078452941176,0.25,0.0,0.6666667,0.190559460164446,27.686046511627907,24.0,4,150,17.65806584939822
airbnb_lottie-android,6.965635738831615,5.0,0,67,8.348375096365453,1.288659793814433,1.0,1,6,0.6479478941364185,0.322762770449827,0.1,0.0,1.0,0.3537030679053763,62.402061855670105,24.0,1,1073,122.73869017021327
bumptech_glide,5.97833223900197,4.0,0,76,6.504435207951035,1.237032173342088,1.0,1,20,0.8030131271698081,0.2236535013602648,0.0,0.0,1.0,0.3100224503686249,40.1483913328956,13.0,1,785,76.05577723418283
netty_netty,4.488761174968071,3.0,0,78,5.862786979685136,1.5275862068965518,1.0,1,26,1.1967908177720237,0.1922359723278583,0.0,0.0,1.0,0.3250812566865353,49.68927203065134,12.0,1,5184,140.74132641262318
SeleniumHQ_selenium,5.790887290167865,4.0,0,82,7.007085352244794,1.381294964028777,1.0,1,28,1.0463973712409096,0.2103880344538349,0.0,0.0,1.0,0.3108506202232576,47.72757793764988,20.0,1,1047,81.9170419283208
xkcoding_spring-boot-demo,5.051867219917012,4.0,0,19,4.00200140145653,1.1307053941908711,1.0,1,5,0.4884647768088304,0.106644012,0.0,0.0,1.0,0.2374175715277919,14.860995850622407,7.0,2,168,19.35894055633211
zxing_zxing,4.993322203672788,4.0,0,52,4.798615548812891,1.662771285475793,2.0,1,6,0.7692673399048808,0.3295342718896321,0.25,0.0,1.0,0.3498514241550911,67.14357262103506,31.0,1,604,93.13283616335552
keycloak_keycloak,6.998459009656873,4.0,0,127,8.404906372696045,1.53400452023834,1.0,1,24,1.0224162029214987,0.3436478766880351,0.16666667,0.0,1.0,0.3707230471990897,59.36233819601397,24.0,1,2030,114.9438027039539
alibaba_easyexcel,6.632142857142857,5.0,0,50,6.092932858676718,1.375,1.0,1,8,0.8344655397500914,0.280127486931416,0.0,0.0,1.0,0.3366932115392964,36.6875,15.0,2,664,65.13673951408636
Blankj_AndroidUtilCode,4.16865671641791,2.0,0,63,5.562250218243596,1.364179104477612,1.0,1,10,0.8356234289192939,0.2366438475619195,0.0,0.0,1.0,0.3533613968620396,59.69402985074627,14.0,1,1541,129.7112135397947
alibaba_nacos,5.433562315996075,3.0,0,62,6.566850828852069,1.2753680078508345,1.0,1,14,0.6673522218605689,0.2744100252288647,0.0,0.0,1.0,0.3251579217024343,47.689499509322864,23.0,1,1106,78.03849078510697
binarywang_WxJava,5.452402704184177,4.0,0,168,6.5540913255676845,1.21213228576649,1.0,1,5,0.4398619234908201,0.4384975247507713,0.33333334,0.0,1.0,0.4381505225316684,22.58852548876302,10.0,1,1848,51.440747153659565
apache_kafka,7.995375592149785,4.0,0,446,13.491033601495936,1.435371080532371,1.0,1,25,1.1006570169911674,0.3101069656701428,0.16666667,0.0,1.0,0.3433641146380329,82.00473719828558,27.0,1,7374,227.25464243880108
conductor-oss_conductor,7.444444444444445,6.0,0,111,7.805045780465195,1.2252050708426547,1.0,1,5,0.4977472149636983,0.3082358870200308,0.16666667,0.0,1.0,0.3409899294683625,71.09843400447427,30.0,1,1909,132.60973773566533
ityouknow_spring-boot-examples,4.726384364820847,4.0,0,19,3.1044014119135253,1.026058631921824,1.0,1,2,0.1595697948450157,0.1190133588925081,0.0,0.0,1.0,0.2531861382716629,14.530944625407166,7.0,1,95,15.90170542361028
chinabugotech_hutool,3.53942060872754,3.0,0,49,3.8348860219542336,1.2805280528052805,1.0,1,11,0.7492711155184365,0.2785941746202481,0.0,0.0,1.0,0.3779925887803124,49.80711404473781,18.0,1,1830,104.16716231290988
xuxueli_xxl-job,4.988372093023256,3.0,0,28,5.602827577802575,1.1569767441860466,1.0,1,4,0.4101178543135675,0.3020640619526626,0.0,0.0,1.0,0.3412205283913915,50.94767441860465,25.5,3,1162,100.64321003204437
apolloconfig_apollo,7.534351145038168,6.0,0,48,7.074811560956016,1.2404580152671756,1.0,1,14,0.673003946680683,0.3254461374093264,0.25,0.0,1.0,0.3291379478023861,46.54452926208651,27.0,1,391,56.19317162175385
alibaba_canal,5.8007590132827325,4.0,0,56,6.440918530933081,1.3785578747628084,1.0,1,13,0.8211100169832061,0.3658550502350597,0.2857143,0.0,1.0,0.380589614825393,106.9696394686907,30.0,1,7281,367.8031739475229
yuliskov_SmartTube,6.6645377128953776,4.0,0,76,8.083963571218392,1.5450121654501217,1.0,1,49,1.4567424723754183,0.3170139455336612,0.0,0.0,1.0,0.3653594264122062,74.25456204379562,21.0,1,2923,153.74286801355953
alibaba_spring-cloud-alibaba,5.93109243697479,5.0,0,32,4.970989033336877,1.1092436974789917,1.0,1,4,0.3527171100237092,0.2274299761120543,0.0,0.0,1.0,0.318760768311269,32.721008403361346,15.0,2,1184,67.73174070786982
wuyouzhuguli_SpringAll,5.243386243386244,4.0,0,22,4.2773874824890505,1.1111111111111112,1.0,1,4,0.3690022871024322,0.2292460071199999,0.0,0.0,1.0,0.3234673546215432,15.965608465608463,11.0,2,96,14.315926923784676
DrKLO_Telegram,6.956182852327786,4.0,0,526,14.110659813494925,1.676708096341549,1.0,1,2145,18.05436072801917,0.2792275875837409,0.0,0.0,1.0,0.3286103346611334,119.7361140369356,18.0,1,69276,880.7683155770744
alibaba_druid,5.236052940190986,4.0,0,430,12.920010674880263,1.6552186295861953,2.0,1,32,0.9246439735540508,0.1517730087348356,0.0,0.0,1.0,0.2919879476683853,58.61501088959625,21.0,1,10319,266.93168604705266
lenve_vhr,4.4361702127659575,2.0,0,31,5.843033735957143,1.0212765957446808,1.0,1,2,0.1450786515834624,0.3059697389247312,0.0,0.0,0.95652187,0.3675985024222848,31.606382978723403,20.0,4,296,42.2300963068794
crossoverJie_JCSprout,1.962962962962963,1.0,0,9,1.857965523581774,1.0925925925925926,1.0,1,4,0.3663748132660339,0.1467741977018633,0.0,0.0,1.0,0.2614570465999647,27.15432098765432,15.0,3,197,33.32869820545411
kestra-io_kestra,8.099783080260304,6.0,0,123,8.595689172414202,1.4321041214750545,1.0,1,11,0.8094559148235942,0.2630285125268664,0.0,0.0,1.0,0.3448659835270963,36.509761388286336,14.0,1,1147,69.29652728482462
qiurunze123_miaosha,4.146853146853147,3.0,0,26,4.53981689399364,1.1258741258741258,1.0,1,4,0.3905395793610153,0.3148388031854839,0.0,0.0,1.0,0.3617698135002656,30.003496503496503,13.0,1,1084,73.64549977326772
OpenAPITools_openapi-generator,5.23233636757694,3.0,0,101,6.145270342787494,1.249241439098396,1.0,1,23,0.743112364552583,0.2982757493972125,0.0,0.0,1.0,0.3833311107628656,59.50780234070221,18.0,1,6079,176.3348331547778
apache_incubator-seata,6.478094326071343,4.0,0,629,20.76832527388074,1.7651424467321044,1.0,1,911,14.101002355103724,0.2358323785733073,0.0,0.0,1.0,0.3496036297908433,66.8185300454872,25.0,2,66120,1026.4885964823372
apache_flink,7.209268331226296,5.0,0,178,8.689050876710429,1.6369706068268015,1.0,1,103,1.8552272306547424,0.3153767363492037,0.0,0.0,1.0,0.3611263888053663,46.867493678887485,19.0,1,4556,102.14660439201612
alibaba_fastjson,1.8523786944839573,1.0,0,71,2.778813119923913,1.5043464517148728,1.0,1,15,0.7131871167597933,0.1364899229267853,0.0,0.0,1.0,0.2738397498824234,32.63726884779516,13.0,1,6666,156.11421929982856
JakeWharton_butterknife,3.959558823529412,2.0,0,69,6.413936379357519,1.2352941176470589,1.0,1,6,0.7108572250152728,0.1882637622374429,0.0,0.0,1.0,0.3439253761606908,28.352941176470587,8.0,1,1024,91.98917226606504
CodePhiliaX_Chat2DB,6.086124401913875,4.0,0,73,7.029375200718674,1.2660287081339714,1.0,1,5,0.5605518790769856,0.2779953562425952,0.0,0.0,1.0,0.3444358817501808,33.665071770334926,11.0,1,673,61.00650658659301
bazelbuild_bazel,7.532955284930742,5.0,0,338,10.369339545857423,1.618388026401413,1.0,1,48,1.3241219312591164,0.2571700968035151,0.0,0.0,1.0,0.3373307516336172,55.63902575067398,18.0,1,3739,123.97175198322722
jenkinsci_jenkins,6.34640522875817,4.0,0,234,8.529187803099665,1.906318082788671,2.0,1,59,1.7636870565447655,0.2260896947392373,0.0,0.0,1.0,0.3257045656401891,45.70055676591624,16.0,1,3013,114.78000706343288
scwang90_SmartRefreshLayout,6.651026392961877,3.0,0,56,7.59130155095532,1.5073313782991202,1.0,1,5,0.8492759399738044,0.1763959330746268,0.0,0.0,1.0,0.2988094020000719,53.21407624633431,12.0,1,2534,154.9969200114674
libgdx_libgdx,5.136142230881637,3.0,0,268,8.851693156682385,1.7895762299074525,1.0,1,48,1.605729226550601,0.2602057699078611,0.08,0.0,1.0,0.3164931034684871,71.53726254262055,27.0,1,4186,160.15673717507298
apache_skywalking,6.0839363241678726,4.0,0,94,7.258476634478412,1.391027496382055,1.0,1,16,0.8032796577570321,0.2576975712089503,0.0,0.0,1.0,0.3313064231866863,35.62691751085384,15.0,1,730,60.5459147020518
proxyee-down-org_proxyee-down,5.516666666666667,4.0,0,34,6.223225134401482,1.4666666666666666,1.0,1,5,0.9291269214473296,0.3870576781355931,0.4,0.0,1.0,0.3781776350933836,56.53333333333333,36.5,2,321,62.740106024414736
greenrobot_EventBus,3.4262295081967213,3.0,0,20,3.065900812679761,1.836065573770492,1.0,1,12,1.4240515779898408,0.1604023431666666,0.0,0.0,1.0,0.2911885974272669,28.79234972677596,8.0,2,421,53.03462010953537
Netflix_Hystrix,3.340648379052369,2.0,0,79,5.187903227582035,1.570074812967581,1.0,1,114,3.592060195971952,0.1114364676611445,0.0,0.0,1.0,0.2514567657351503,30.92768079800499,8.0,1,4101,143.69751322220355
redisson_redisson,5.775347912524851,3.0,0,205,10.54173462974075,1.3386348575215374,1.0,1,7,0.7698139915430237,0.17938673202995,0.0,0.0,1.0,0.306627712718286,58.25115970841617,14.0,1,2392,155.64080718788094
google_gson,3.024884792626728,2.0,0,44,4.451286984860206,1.284792626728111,1.0,1,24,1.02415435296198,0.1041443445859613,0.0,0.0,1.0,0.2404634810886064,32.10506912442396,8.0,1,1478,91.8291974070366
iBotPeaches_Apktool,5.868263473053892,5.0,0,38,5.3599933669752975,1.778443113772455,2.0,1,5,1.037845298061478,0.3721788265662651,0.33333334,0.0,1.0,0.3459992841585462,80.68263473053892,29.0,1,772,124.49600031415144
dataease_dataease,4.970848056537102,3.0,0,99,7.54720118902893,1.204946996466431,1.0,1,6,0.6757464987119615,0.2999106922496148,0.0,0.0,1.0,0.3844982128826826,39.68462897526502,9.0,1,1820,124.90527768294696
EnterpriseQualityCoding_FizzBuzzEnterpriseEdition,2.901098901098901,2.0,0,16,2.836488224136572,1.0,1.0,1,1,0.0,0.043951311235955,0.0,0.0,0.6,0.1291210538952936,9.824175824175825,9.0,1,40,7.715199150008893
LSPosed_LSPosed,5.522248243559719,3.0,0,46,7.247233346434148,1.6463700234192038,1.0,1,16,1.2869896760042594,0.1990464229443099,0.0,0.0,1.0,0.3315773190166828,53.75175644028103,12.0,1,1092,127.7787818994812
ashishps1_awesome-low-level-design,2.6343001261034047,2.0,0,17,2.551971667085779,1.1387137452711222,1.0,1,4,0.4333646375933141,0.1754481028156566,0.0,0.0,1.0,0.2735195153863954,18.437578814628,13.0,1,157,18.53324749787064
doocs_source-code-hunter,0.0,0.0,0,0,,1.0,1.0,1,1,,0.0,0.0,0.0,0.0,,5.0,5.0,5,5,
alibaba_Sentinel,4.410807291666667,3.0,0,44,4.449629827516807,1.177734375,1.0,1,18,0.6519719602017029,0.2241236483056282,0.0,0.0,1.0,0.3226700907654836,36.51432291666666,20.0,1,604,48.0170279575226
kunal-kushwaha_DSA-Bootcamp-Java,1.2687747035573125,1.0,0,8,1.2403969541247652,1.08300395256917,1.0,1,3,0.3407328527871097,0.1057821125691699,0.0,0.0,1.0,0.228665074146907,26.14229249011857,16.0,2,265,31.943581059644988
apache_rocketmq,7.089824328803447,4.0,0,218,10.85054389973414,1.3337752734504476,1.0,1,11,0.748315592961661,0.3205422407484848,0.25,0.0,1.0,0.3382144036711435,78.29864103413988,29.0,1,2699,165.73444764666988
elunez_eladmin,8.01418439716312,5.0,0,37,7.683217200927227,1.1631205673758864,1.0,1,4,0.4483915655851849,0.2575708235497835,0.0,0.0,1.0,0.3393891501526479,28.617021276595743,11.0,1,441,49.646818044919165
google_ExoPlayer,7.587930508991161,5.0,0,127,8.947626781146033,1.295032002438281,1.0,1,31,1.0157913264015426,0.2962239512147446,0.0,0.0,1.0,0.3459676633523866,79.95976836330387,25.0,2,6525,207.3707742548797
