file,class,method,variable,usage
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,selectLanguage/1[java.util.Scanner],entry,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,selectLanguage/1[java.util.Scanner],scanner,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,selectLanguage/1[java.util.Scanner],choice,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",outputChars,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",targetLang,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",inputPath,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",translatedChunk,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",inputChars,1
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",e,0
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",outputPath,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",chunks,3
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",i,4
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",translated,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",translatedContent,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",content,2
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,main/1[java.lang.String[]],e,4
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,main/1[java.lang.String[]],i,4
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,main/1[java.lang.String[]],repoPathStr,3
C:\Users\paulo\Documents\GitHub\lab-exp-software\LAB-02\repos\Snailclimb_JavaGuide\TranslateRepo.java,TranslateRepo,main/1[java.lang.String[]],language,12
