owner,repository,stars,releases,created_at,url
Snailclimb,JavaGuide,154800,0,2018-05-07T13:27:00Z,https://github.com/Snailclimb/JavaGuide
krahets,hello-algo,125017,10,2022-11-04T11:08:34Z,https://github.com/krahets/hello-algo
GrowingGit,GitHub-Chinese-Top-Charts,107369,0,2019-09-05T03:01:56Z,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
iluwatar,java-design-patterns,93864,0,2014-08-09T16:45:18Z,https://github.com/iluwatar/java-design-patterns
macrozheng,mall,83355,3,2018-04-04T01:11:44Z,https://github.com/macrozheng/mall
spring-projects,spring-boot,80395,345,2012-10-19T15:02:57Z,https://github.com/spring-projects/spring-boot
doocs,advanced-java,78920,1,2018-10-06T11:38:30Z,https://github.com/doocs/advanced-java
MisterBooo,LeetCodeAnimation,76668,0,2018-12-06T08:01:22Z,https://github.com/MisterBooo/LeetCodeAnimation
elastic,elasticsearch,76491,241,2010-02-08T13:20:56Z,https://github.com/elastic/elasticsearch
NationalSecurityAgency,ghidra,66793,52,2019-03-01T03:27:48Z,https://github.com/NationalSecurityAgency/ghidra
TheAlgorithms,Java,65349,0,2016-07-16T10:21:02Z,https://github.com/TheAlgorithms/Java
kdn251,interviews,64925,0,2017-02-14T18:19:25Z,https://github.com/kdn251/interviews
spring-projects,spring-framework,59832,359,2010-12-08T04:04:45Z,https://github.com/spring-projects/spring-framework
termux,termux-app,53136,95,2015-10-23T09:42:46Z,https://github.com/termux/termux-app
google,guava,51514,57,2014-05-29T16:23:17Z,https://github.com/google/guava
dbeaver,dbeaver,49502,245,2015-10-21T08:26:28Z,https://github.com/dbeaver/dbeaver
ReactiveX,RxJava,48376,258,2013-01-08T20:11:48Z,https://github.com/ReactiveX/RxJava
skylot,jadx,48016,34,2013-03-18T17:08:21Z,https://github.com/skylot/jadx
jeecgboot,JeecgBoot,45789,70,2018-11-26T10:40:00Z,https://github.com/jeecgboot/JeecgBoot
apache,dubbo,41626,113,2012-06-19T07:56:02Z,https://github.com/apache/dubbo
PhilJay,MPAndroidChart,38227,44,2014-04-25T14:29:47Z,https://github.com/PhilJay/MPAndroidChart
halo-dev,halo,38219,254,2018-03-21T12:56:52Z,https://github.com/halo-dev/halo
TeamNewPipe,NewPipe,37767,141,2015-09-03T23:39:26Z,https://github.com/TeamNewPipe/NewPipe
eugenp,tutorials,37356,0,2013-04-29T18:26:36Z,https://github.com/eugenp/tutorials
alibaba,arthas,37230,69,2018-08-29T17:15:57Z,https://github.com/alibaba/arthas
YunaiV,ruoyi-vue-pro,36334,54,2021-01-24T03:18:25Z,https://github.com/YunaiV/ruoyi-vue-pro
ashishps1,awesome-system-design-resources,36095,0,2023-10-25T01:50:42Z,https://github.com/ashishps1/awesome-system-design-resources
geekxh,hello-algorithm,36062,0,2020-05-29T05:47:09Z,https://github.com/geekxh/hello-algorithm
doocs,leetcode,35866,21,2018-09-16T14:03:03Z,https://github.com/doocs/leetcode
airbnb,lottie-android,35596,63,2016-10-06T22:42:42Z,https://github.com/airbnb/lottie-android
bumptech,glide,35028,54,2013-07-08T22:52:33Z,https://github.com/bumptech/glide
netty,netty,34908,3,2010-11-09T09:22:21Z,https://github.com/netty/netty
SeleniumHQ,selenium,34120,115,2013-01-14T21:40:56Z,https://github.com/SeleniumHQ/selenium
xkcoding,spring-boot-demo,34109,0,2017-11-10T06:27:29Z,https://github.com/xkcoding/spring-boot-demo
zxing,zxing,33910,32,2011-10-12T14:07:27Z,https://github.com/zxing/zxing
keycloak,keycloak,33796,105,2013-07-02T13:38:51Z,https://github.com/keycloak/keycloak
alibaba,easyexcel,33758,14,2018-02-06T03:14:08Z,https://github.com/alibaba/easyexcel
Blankj,AndroidUtilCode,33696,117,2016-07-30T18:18:32Z,https://github.com/Blankj/AndroidUtilCode
alibaba,nacos,32813,93,2018-06-15T06:49:27Z,https://github.com/alibaba/nacos
binarywang,WxJava,32696,31,2016-01-06T08:24:05Z,https://github.com/binarywang/WxJava
apache,kafka,32343,0,2011-08-15T18:06:16Z,https://github.com/apache/kafka
conductor-oss,conductor,31612,44,2023-12-08T06:06:09Z,https://github.com/conductor-oss/conductor
ityouknow,spring-boot-examples,30623,0,2016-11-05T05:32:33Z,https://github.com/ityouknow/spring-boot-examples
chinabugotech,hutool,30309,157,2014-04-13T07:23:51Z,https://github.com/chinabugotech/hutool
xuxueli,xxl-job,30045,43,2015-11-28T12:59:34Z,https://github.com/xuxueli/xxl-job
apolloconfig,apollo,29751,43,2016-03-04T10:24:23Z,https://github.com/apolloconfig/apollo
alibaba,canal,29649,32,2013-01-13T10:59:52Z,https://github.com/alibaba/canal
yuliskov,SmartTube,29408,987,2020-07-28T12:53:52Z,https://github.com/yuliskov/SmartTube
alibaba,spring-cloud-alibaba,29090,51,2017-12-01T20:49:15Z,https://github.com/alibaba/spring-cloud-alibaba
wuyouzhuguli,SpringAll,29004,0,2018-05-02T02:48:44Z,https://github.com/wuyouzhuguli/SpringAll
DrKLO,Telegram,28901,95,2013-10-25T14:08:10Z,https://github.com/DrKLO/Telegram
alibaba,druid,28209,52,2011-11-03T05:12:51Z,https://github.com/alibaba/druid
lenve,vhr,28105,0,2018-01-04T08:57:51Z,https://github.com/lenve/vhr
Anuken,Mindustry,27170,184,2017-04-30T01:24:29Z,https://github.com/Anuken/Mindustry
crossoverJie,JCSprout,26980,0,2017-12-17T09:06:50Z,https://github.com/crossoverJie/JCSprout
kestra-io,kestra,26678,422,2019-08-24T13:56:15Z,https://github.com/kestra-io/kestra
qiurunze123,miaosha,26613,0,2018-09-14T04:36:24Z,https://github.com/qiurunze123/miaosha
OpenAPITools,openapi-generator,26080,79,2018-05-12T09:57:56Z,https://github.com/OpenAPITools/openapi-generator
apache,incubator-seata,25969,45,2018-12-28T08:37:22Z,https://github.com/apache/incubator-seata
