name,stars,url,created_at
Snailclimb/JavaGuide,154478,https://github.com/Snailclimb/JavaGuide.git,2018-05-07T13:27:00Z
krahets/hello-algo,123957,https://github.com/krahets/hello-algo.git,2022-11-04T11:08:34Z
GrowingGit/GitHub-Chinese-Top-Charts,107092,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts.git,2019-09-05T03:01:56Z
iluwatar/java-design-patterns,93836,https://github.com/iluwatar/java-design-patterns.git,2014-08-09T16:45:18Z
macrozheng/mall,83242,https://github.com/macrozheng/mall.git,2018-04-04T01:11:44Z
spring-projects/spring-boot,80310,https://github.com/spring-projects/spring-boot.git,2012-10-19T15:02:57Z
doocs/advanced-java,78917,https://github.com/doocs/advanced-java.git,2018-10-06T11:38:30Z
MisterBooo/LeetCodeAnimation,76700,https://github.com/MisterBooo/LeetCodeAnimation.git,2018-12-06T08:01:22Z
elastic/elasticsearch,76396,https://github.com/elastic/elasticsearch.git,2010-02-08T13:20:56Z
NationalSecurityAgency/ghidra,66158,https://github.com/NationalSecurityAgency/ghidra.git,2019-03-01T03:27:48Z
TheAlgorithms/Java,65280,https://github.com/TheAlgorithms/Java.git,2016-07-16T10:21:02Z
kdn251/interviews,64937,https://github.com/kdn251/interviews.git,2017-02-14T18:19:25Z
spring-projects/spring-framework,59788,https://github.com/spring-projects/spring-framework.git,2010-12-08T04:04:45Z
termux/termux-app,52485,https://github.com/termux/termux-app.git,2015-10-23T09:42:46Z
google/guava,51504,https://github.com/google/guava.git,2014-05-29T16:23:17Z
dbeaver/dbeaver,49282,https://github.com/dbeaver/dbeaver.git,2015-10-21T08:26:28Z
ReactiveX/RxJava,48468,https://github.com/ReactiveX/RxJava.git,2013-01-08T20:11:48Z
skylot/jadx,47790,https://github.com/skylot/jadx.git,2013-03-18T17:08:21Z
jeecgboot/JeecgBoot,45570,https://github.com/jeecgboot/JeecgBoot.git,2018-11-26T10:40:00Z
apache/dubbo,41711,https://github.com/apache/dubbo.git,2012-06-19T07:56:02Z
PhilJay/MPAndroidChart,38227,https://github.com/PhilJay/MPAndroidChart.git,2014-04-25T14:29:47Z
halo-dev/halo,38148,https://github.com/halo-dev/halo.git,2018-03-21T12:56:52Z
TeamNewPipe/NewPipe,37652,https://github.com/TeamNewPipe/NewPipe.git,2015-09-03T23:39:26Z
eugenp/tutorials,37350,https://github.com/eugenp/tutorials.git,2013-04-29T18:26:36Z
alibaba/arthas,37213,https://github.com/alibaba/arthas.git,2018-08-29T17:15:57Z
geekxh/hello-algorithm,36035,https://github.com/geekxh/hello-algorithm.git,2020-05-29T05:47:09Z
YunaiV/ruoyi-vue-pro,36024,https://github.com/YunaiV/ruoyi-vue-pro.git,2021-01-24T03:18:25Z
doocs/leetcode,35822,https://github.com/doocs/leetcode.git,2018-09-16T14:03:03Z
airbnb/lottie-android,35602,https://github.com/airbnb/lottie-android.git,2016-10-06T22:42:42Z
ashishps1/awesome-system-design-resources,35525,https://github.com/ashishps1/awesome-system-design-resources.git,2023-10-25T01:50:42Z
bumptech/glide,35031,https://github.com/bumptech/glide.git,2013-07-08T22:52:33Z
netty/netty,34900,https://github.com/netty/netty.git,2010-11-09T09:22:21Z
SeleniumHQ/selenium,34177,https://github.com/SeleniumHQ/selenium.git,2013-01-14T21:40:56Z
xkcoding/spring-boot-demo,34112,https://github.com/xkcoding/spring-boot-demo.git,2017-11-10T06:27:29Z
zxing/zxing,33901,https://github.com/zxing/zxing.git,2011-10-12T14:07:27Z
alibaba/easyexcel,33770,https://github.com/alibaba/easyexcel.git,2018-02-06T03:14:08Z
Blankj/AndroidUtilCode,33706,https://github.com/Blankj/AndroidUtilCode.git,2016-07-30T18:18:32Z
keycloak/keycloak,33570,https://github.com/keycloak/keycloak.git,2013-07-02T13:38:51Z
alibaba/nacos,32764,https://github.com/alibaba/nacos.git,2018-06-15T06:49:27Z
binarywang/WxJava,32671,https://github.com/binarywang/WxJava.git,2016-01-06T08:24:05Z
apache/kafka,32228,https://github.com/apache/kafka.git,2011-08-15T18:06:16Z
conductor-oss/conductor,31567,https://github.com/conductor-oss/conductor.git,2023-12-08T06:06:09Z
ityouknow/spring-boot-examples,30640,https://github.com/ityouknow/spring-boot-examples.git,2016-11-05T05:32:33Z
chinabugotech/hutool,30332,https://github.com/chinabugotech/hutool.git,2014-04-13T07:23:51Z
xuxueli/xxl-job,29994,https://github.com/xuxueli/xxl-job.git,2015-11-28T12:59:34Z
apolloconfig/apollo,29768,https://github.com/apolloconfig/apollo.git,2016-03-04T10:24:23Z
alibaba/canal,29644,https://github.com/alibaba/canal.git,2013-01-13T10:59:52Z
alibaba/spring-cloud-alibaba,29082,https://github.com/alibaba/spring-cloud-alibaba.git,2017-12-01T20:49:15Z
yuliskov/SmartTube,29082,https://github.com/yuliskov/SmartTube.git,2020-07-28T12:53:52Z
wuyouzhuguli/SpringAll,29011,https://github.com/wuyouzhuguli/SpringAll.git,2018-05-02T02:48:44Z
DrKLO/Telegram,28758,https://github.com/DrKLO/Telegram.git,2013-10-25T14:08:10Z
alibaba/druid,28217,https://github.com/alibaba/druid.git,2011-11-03T05:12:51Z
lenve/vhr,28098,https://github.com/lenve/vhr.git,2018-01-04T08:57:51Z
Anuken/Mindustry,27028,https://github.com/Anuken/Mindustry.git,2017-04-30T01:24:29Z
crossoverJie/JCSprout,27002,https://github.com/crossoverJie/JCSprout.git,2017-12-17T09:06:50Z
qiurunze123/miaosha,26604,https://github.com/qiurunze123/miaosha.git,2018-09-14T04:36:24Z
kestra-io/kestra,26592,https://github.com/kestra-io/kestra.git,2019-08-24T13:56:15Z
OpenAPITools/openapi-generator,26024,https://github.com/OpenAPITools/openapi-generator.git,2018-05-12T09:57:56Z
apache/incubator-seata,25966,https://github.com/apache/incubator-seata.git,2018-12-28T08:37:22Z
apache/flink,25894,https://github.com/apache/flink.git,2014-06-07T07:00:10Z
alibaba/fastjson,25702,https://github.com/alibaba/fastjson.git,2011-11-03T06:58:52Z
hollischuang/toBeTopJavaer,25458,https://github.com/hollischuang/toBeTopJavaer.git,2018-10-25T09:54:54Z
JakeWharton/butterknife,25413,https://github.com/JakeWharton/butterknife.git,2013-03-05T08:18:59Z
CodePhiliaX/Chat2DB,25283,https://github.com/CodePhiliaX/Chat2DB.git,2023-06-20T14:05:26Z
bazelbuild/bazel,25262,https://github.com/bazelbuild/bazel.git,2014-06-12T16:00:38Z
scwang90/SmartRefreshLayout,25174,https://github.com/scwang90/SmartRefreshLayout.git,2017-06-02T09:52:50Z
jenkinsci/jenkins,25129,https://github.com/jenkinsci/jenkins.git,2010-11-22T21:21:23Z
libgdx/libgdx,24947,https://github.com/libgdx/libgdx.git,2012-08-10T19:34:38Z
proxyee-down-org/proxyee-down,24787,https://github.com/proxyee-down-org/proxyee-down.git,2017-10-25T10:07:27Z
apache/skywalking,24761,https://github.com/apache/skywalking.git,2015-11-07T03:30:36Z
greenrobot/EventBus,24748,https://github.com/greenrobot/EventBus.git,2012-07-16T16:55:40Z
Netflix/Hystrix,24467,https://github.com/Netflix/Hystrix.git,2012-11-19T20:14:46Z
google/gson,24347,https://github.com/google/gson.git,2015-03-19T18:21:20Z
redisson/redisson,24276,https://github.com/redisson/redisson.git,2014-01-11T14:06:25Z
iBotPeaches/Apktool,24141,https://github.com/iBotPeaches/Apktool.git,2012-03-19T17:46:53Z
dataease/dataease,23676,https://github.com/dataease/dataease.git,2021-02-02T04:10:21Z
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23568,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,2012-11-24T00:14:41Z
LSPosed/LSPosed,23232,https://github.com/LSPosed/LSPosed.git,2020-12-12T08:39:37Z
doocs/source-code-hunter,23136,https://github.com/doocs/source-code-hunter.git,2019-10-28T01:35:10Z
alibaba/Sentinel,23106,https://github.com/alibaba/Sentinel.git,2018-04-04T06:37:33Z
ashishps1/awesome-low-level-design,22915,https://github.com/ashishps1/awesome-low-level-design.git,2023-11-17T10:15:12Z
openjdk/jdk,22735,https://github.com/openjdk/jdk.git,2018-09-17T12:29:20Z
apache/rocketmq,22387,https://github.com/apache/rocketmq.git,2016-11-30T08:00:08Z
kunal-kushwaha/DSA-Bootcamp-Java,22375,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java.git,2021-07-30T12:23:25Z
google/ExoPlayer,21935,https://github.com/google/ExoPlayer.git,2014-06-13T21:19:18Z
elunez/eladmin,21933,https://github.com/elunez/eladmin.git,2018-12-14T08:54:24Z
oracle/graal,21530,https://github.com/oracle/graal.git,2016-01-14T17:11:35Z
CarGuo/GSYVideoPlayer,21431,https://github.com/CarGuo/GSYVideoPlayer.git,2016-11-13T12:34:31Z
thingsboard/thingsboard,21422,https://github.com/thingsboard/thingsboard.git,2016-12-01T09:33:30Z
brettwooldridge/HikariCP,21076,https://github.com/brettwooldridge/HikariCP.git,2013-10-08T05:43:03Z
apache/shardingsphere,20701,https://github.com/apache/shardingsphere.git,2016-01-18T12:49:26Z
didi/DoKit,20434,https://github.com/didi/DoKit.git,2018-08-14T10:32:07Z
mybatis/mybatis-3,20401,https://github.com/mybatis/mybatis-3.git,2013-02-14T19:03:32Z
linlinjava/litemall,20206,https://github.com/linlinjava/litemall.git,2018-03-22T16:42:30Z
ReactiveX/RxAndroid,20181,https://github.com/ReactiveX/RxAndroid.git,2014-08-19T03:46:38Z
yudaocode/SpringBoot-Labs,20078,https://github.com/yudaocode/SpringBoot-Labs.git,2018-09-12T14:51:46Z
JetBrains/intellij-community,19872,https://github.com/JetBrains/intellij-community.git,2011-09-30T13:33:05Z
dianping/cat,18969,https://github.com/dianping/cat.git,2012-12-05T02:31:48Z
lionsoul2014/ip2region,18869,https://github.com/lionsoul2014/ip2region.git,2015-11-02T00:43:13Z
Baseflow/PhotoView,18858,https://github.com/Baseflow/PhotoView.git,2012-07-17T16:39:00Z
antlr/antlr4,18802,https://github.com/antlr/antlr4.git,2010-02-04T01:36:28Z
YunaiV/yudao-cloud,18709,https://github.com/YunaiV/yudao-cloud.git,2019-05-02T16:06:49Z
dromara/Sa-Token,18707,https://github.com/dromara/Sa-Token.git,2020-02-03T10:34:29Z
