
================================================================================
ANALYSIS RESULTS - TO BE INSERTED IN RELATORIO_FINAL.md
================================================================================

## 9.1 Estatísticas Descritivas

**Métricas de Processo (n = 974):**

| Métrica | Média | Mediana | Desvio Padrão | Min | Max |
|---------|-------|---------|---------------|-----|-----|
| Stars | 9442.41 | 5786.50 | 10714.38 | 3473.00 | 125017.00 |
| Idade (anos) | 10.14 | 10.31 | 3.18 | 0.56 | 17.47 |
| Releases | 41.01 | 11.00 | 89.95 | 0.00 | 1000.00 |
| LOC_avg | 50.93 | 44.23 | 31.45 | 2.00 | 406.33 |

**Métricas de Qualidade (n = 974):**

| Métrica | Média | Mediana | Desvio Padrão | Min | Max |
|---------|-------|---------|---------------|-----|-----|
| CBO_avg | 5.38 | 5.33 | 1.87 | 0.00 | 21.89 |
| DIT_avg | 1.46 | 1.39 | 0.35 | 1.00 | 4.39 |
| LCOM*_avg | 0.24 | 0.25 | 0.09 | 0.00 | 0.75 |
